,0
0,have
1,forward
2,skills
3,grow
4,tools
5,But
6,to
7,What
8,new
9,"others,"
10,it.
11,acquire
12,skills
13,of
14,knowledge
15,to
16,thankful
17,"now"""
18,the
19,and
20,I
21,in
22,of
23,different
24,my
25,was
26,systems
27,forward
28,in
29,fill
30,Bren
31,am
32,meeting
33,want
34,able
35,that
36,ill-prepared
37,on
38,within
39,past
40,in
41,learn
42,years
43,explore
44,warm
45,the
46,I
47,love.Better
48,order
49,problems.
50,looking
51,accomplish
52,most
53,and
54,issues
55,humanity
56,to
57,environment.
58,solution-based
59,will
60,School.
61,climate
62,on
63,undergraduate
64,management
65,environmental
66,understand
67,the
68,planet.
69,my
70,the
71,problems
72,worldI
73,Looking
74,ability
75,I
76,career
77,i
78,I
79,issues
80,also
81,part
82,and
83,I
84,how
85,Bren's
86,to
87,biology
88,I
89,class
90,the
91,"Core,"
92,problems
93,really
94,future.learning
95,different
96,passionate
97,my
98,look
99,in
100,year
101,an
102,engagement
103,summer
104,am
105,want
106,will
107,spend
108,and
109,about
110,thought
111,staff
112,environmental
113,application
114,I'm
115,and
116,would
117,with
118,the
119,an
120,field
121,forward
122,building
123,being
124,"change,"
125,connections
126,excited
127,can
128,can
129,field.
130,human
131,the
132,to
133,really
134,fields
135,to
136,Bren
137,the
138,small
139,the
140,of
141,want
142,solutions
143,how
144,understanding
145,change
146,fashion.I
147,world
148,that
149,my
150,"classes,"
151,like
152,work
153,scientific
154,and
155,make
156,my
157,Bren
158,I
159,of
160,frustrated
161,I
162,forward
163,came
164,to
165,yet
166,exploring
167,I
168,the
169,am
170,their
171,interests
172,trade
173,economics
174,career
175,for
176,wanted
177,looking
178,making
179,I
180,to
181,come
182,diversity
183,my
184,have
185,I
186,"cohort,"
187,further
188,our
189,Throughout
190,so
191,wonderful
192,to
193,a
194,and
195,gain
196,Specialization
197,real-world
198,learning
199,degree
200,interdisciplinary
201,the
202,importance
203,the
204,on
205,to
206,climate
207,the
208,work
209,Bren
210,to
211,experience
212,with
213,and
214,to
215,backgrounmd.to
216,the
217,and
218,field
219,the
220,of
221,Bren
222,applying
223,I
224,Master's
225,Knowing
226,skillsets.
227,needed
228,to
229,to
230,about
231,climate
232,to
233,"within,"
234,we
235,I
236,want
237,towards
238,and
239,company
240,I
241,problems.
242,the
243,come
244,to
245,The
246,I
247,come
248,life
249,to
250,to
251,most
252,structured
253,in
254,professional
255,climate
256,back
257,backgroundsInterdisciplinary
258,further
259,faculty
260,"cybersecurity,"
261,skills
262,climate
263,different
264,(maybe
265,I've
266,more
267,scholars
268,perspectives
269,to
270,across
271,issues.
272,on
273,the
274,my
275,change
276,professional.I
277,I
278,"to,"
279,I
280,of
281,on
282,world
283,be
284,to
285,the
286,next
287,i
288,to
289,am
290,form
291,increase
292,it
293,the
294,facilities
295,my
296,I
297,able
298,fix
299,changing
300,projects
301,sustain
302,professional
303,to
304,effective
305,aid
306,6
307,problems.
308,my
309,company.I
310,develop
311,options.I
312,years
313,I
314,forward
315,learn
316,connections
317,"impact,"
318,my
319,explore
320,to
321,looking
322,them.Lately
323,other
324,curriculum.
325,as
326,into
327,I
328,to
329,alongside
330,takes
331,strong
332,"change,"
333,how
334,Bren
335,from
336,the
337,am
338,excited
339,am
340,with
341,groups
342,project.
343,and
344,through
345,with
346,pivot
347,because
348,"solutions,"
349,respect
350,connections
351,to
352,looking
353,"policy,"
354,Bren
355,explore
356,in
357,and
358,equip
359,looking
360,spent
361,about
362,not
363,environmental
364,all
365,has..I
366,Economics.I
367,approach
368,the
369,in
370,skillset
371,view
372,that
373,to
374,I'd
375,much
376,help
377,knowledge
378,to
379,I
380,role
381,and
382,similarly
383,and
384,a
385,high
386,direction
387,of
388,from
389,needed
390,on
391,Earth
392,access
393,I’m
394,protection
395,connection
396,the
397,need
398,me
399,lives
400,learning
401,on
402,local
403,problem.
404,like-minded
405,chose
406,the
407,to
408,broken
409,brainstorming
410,I'm
411,of
412,a
413,of
414,our
415,corporate
416,here.
417,my
418,to
419,am
420,forward
421,to
422,that
423,do
424,towards
425,Bren
426,go
427,solutions.Community
428,excited
429,problems
430,always
431,use
432,"California,"
433,to
434,manager
435,professionals
436,i've
437,management?)
438,forward
439,seeing
440,my
441,and
442,tools
443,through
444,my
445,decided
446,to
447,unless
448,topics
449,to
450,I
451,environmental
452,findings
453,about
454,career
455,meaningfully
456,I
457,I
458,most
459,my
460,underprivileged
461,and
462,most
463,"Earth,"
464,dream/goal.
465,forward
466,environmental
467,those
468,learning
469,I
470,land
471,make
472,where
473,aligns
474,grow.I
475,fit
476,Bren
477,come
478,topics
479,project
480,the
481,that
482,prior
483,for
484,specifically
485,I
486,on
487,and
488,specialization
489,and
490,further
491,my
492,my
493,health
494,personal
495,came
496,issues
497,systems
498,the
499,other
500,research
501,bring
502,because
503,I'm
504,I
505,"restoration/ecology,"
506,program
507,in
508,of
509,looking
510,am
511,looking
512,a
513,Bren
514,issues
515,mitigate
516,in
517,in
518,have
519,life-cycle
520,decided
521,me
522,me
523,"this,"
524,on
525,in
526,this
527,dynamic
528,my
529,professions
530,my
531,about
532,could
533,that
534,come
535,driven
536,taught
537,am
538,as
539,decided
540,past
541,forward
542,movements
543,a
544,I
545,continue
546,this
547,commercial
548,decided
549,environment.
550,coastal
551,graduationThis
552,new
553,to
554,decided
555,part
556,environmental
557,working
558,united
559,with
560,my
561,a
562,"solutions,"
563,to
564,dream
565,that
566,met
567,and
568,systems
569,necessary
570,experience/practice.
571,the
572,Bren
573,looking
574,of
575,state
576,love
577,ES
578,jobs.
579,fight
580,to
581,during
582,most
583,opportunities
584,"Also,"
585,looking
586,conservation
587,most
588,Bren
589,here.I
590,on
591,school
592,learn
593,programs
594,coast
595,in
596,was
597,background.
598,in
599,the
600,and
601,community
602,more
603,continuing
604,to
605,career
606,learning
607,pursuing
608,a
609,the
610,the
611,the
612,the
613,I
614,"systems,"
615,a
616,technical
617,I
618,knowledge
619,to
620,love
621,from
622,forward
623,a
624,more
625,production
626,better
627,to
628,realized
629,learn
630,come
631,depressed
632,and
633,environmental
634,will
635,towards
636,looking
637,to
638,to
639,forward
640,intersection
641,most
642,for
643,and
644,product
645,accomplish.
646,felt
647,been
648,preservationTo
649,during
650,to
651,I
652,sciences.
653,is
654,better
655,science
656,the
657,be
658,of
659,have
660,everyone
661,I
662,challenge
663,inclusivity
664,changes
665,of
666,for
667,-
668,in
669,I’m
670,learn
671,a
672,wasn't
673,overtaxing
674,of
675,am
676,like
677,Interdisciplinary
678,right
679,have
680,me
681,loved
682,solve
683,and
684,deeper
685,realizing
686,school
687,to
688,suit
689,in
690,to
691,eager
692,me
693,the
694,a
695,status
696,"years,"
697,learning
698,Wanted
699,with
700,to
701,to
702,the
703,the
704,undergraduate
705,help
706,come
707,science
708,knowledge
709,the
710,this
711,I
712,with
713,that
714,how
715,people
716,forward
717,weren't
718,a
719,professional
720,I'm
721,focus
722,protecting
723,connecting
724,the
725,expand
726,in
727,excited
728,Despite
729,I
730,issues
731,most
732,want
733,at
734,its
735,the
736,Planning
737,Bren.
738,I
739,are
740,in
741,big
742,the
743,mainly
744,empower
745,Barbara
746,increase
747,I
748,solve
749,to
750,in
751,also
752,problems.
753,decided
754,side.
755,interested
756,of
757,true
758,having
759,practical
760,the
761,didn’t
762,the
763,a
764,our
765,life
766,into
767,so
768,we
769,faculty
770,decided
771,to
772,a
773,understanding
774,professional
775,was
776,and
777,problems.
778,most
779,for
780,environmental
781,issue.Needed
782,the
783,to
784,pursue
785,my
786,and
787,through
788,to
789,am
790,climate
791,field
792,career
793,into
794,to
795,to
796,sustainable
797,on
798,to
799,going
800,because
801,looking
802,work
803,working
804,environmental
805,of
806,to
807,how
808,delve
809,learn
810,other
811,have
812,studies
813,excited
814,to
815,gain
816,things
817,to
818,coming
819,am
820,it
821,educate
822,feeling
823,solving
824,forward
825,inefficient
826,program.
827,very
828,of
829,so
830,of
831,like
832,understanding
833,because
834,am
835,order
836,forward
837,cohort
838,school
839,from
840,The
841,well
842,spend
843,went
844,the
845,location
846,a
847,tired
848,was
849,a
850,also
851,gaining
852,efforts
853,from
854,and
855,positive
856,inequality.
857,partner
858,on
859,personality
860,total
861,skills
862,options.
863,and
864,scientist.
865,to
866,of
867,Climate
868,to
869,the
870,I'm
871,who
872,of
873,understand
874,I
875,pinpointing
876,to
877,was
878,to
879,and
880,environment.
881,work
882,specifically
883,communicate
884,career.
885,do
886,policy
887,Bren
888,me
889,program
890,how
891,I
892,forward
893,to
894,am
895,and
896,solves
897,career
898,a
899,big
900,more
901,learn
902,of
903,focus!
904,and
905,to
906,forward
907,what
908,as
909,because
