"With respect to ESM 203, you are most interested in learning about:","With respect to ESM 203, you are most worried about:","At the end of this class, one thing you would like to be better at than you are now is:","What is a question that we should ask you, but we haven't?","In one word, describe the Earth."
how this course will apply to my everyday perspectives on climate change,knowing the different cycles and their relationships,understanding the different cycles and seeing their relationships between each other,n/a,Home
Climatology,Not sure,Better understanding of and able to explain ocean system circulation and affects on climate change,Level of background with this material,Home
Ocean circulation,Being overwhelmed with the amount of information presented in the course,Understanding the many equations in the class,N/A,Complex
I love learning about how the abiotic and biotic aspects of Earth interact on global scales,Honestly I'm a bit worried about how much of the course will actually be new for me. I have a lot of coursework focused on climate systems including modeling in insightmaker.,I'm always interested in adding more knowledge of how fire plays a role/is impacted,,Improbable
Everything!,The online format,Thinking about earth system sciences,N/A,Ball
,,,,beauty
Big picture thinking,Lack of knowledge,Comprehension of interconnectivity,If you could have one bending power from Avatar which would it be and why?,Round
Ocean Circulation and Hydrology,Nothing so far,I would like to better understand the interactions between earth's various systems,What do you already feel confident in regarding the coursework/have experience in?,Life
The role of the ocean in Earth's systems.,Not having enough background in earth science,Explaining the mechanisms of Earth's systems and how they relate to current environmental problems.,Why is pizza your favorite type of food?,Oasis
"Hydrology, the effects of pollution on waterways, and methods to restore polluted bodies of water.",Concepts related to environmental physics.,Explaining environmental processes related to the atmosphere and biosphere.,"In light of recent events, do you feel empowered and that you can make a difference in the world? Explain.",Home.
,,,,Liquid
Water Management Principles,My ability to do quantitative problems!,Explaining climate change/global warming to people in an approchable way,What is our role as MESM students in all of this?,righteous
water resources and climate change,staying engaged in zoom lectures,discussing climate change with people who are less informed than me,,fractured
"Biological interactions with each major physical cycle we cover (ie. currents, wind, etc.)",Zoom fatigue!,"Effectively explaining the underlying physical processes that ""make up"" climate change",What have you heard about this class?,ethereal
,,,,home
The interconnectedness of the Earth's ecosystems.,,Understanding scientific data in relation to it's effect on the environment,How significant do you believe the correlation between environmental quality and economic stability?,
The carbon cycle!,Physics...,Understanding the role of the ocean in climate and climate change,Level of experience/comfort with physical sciences,Home!
I am excited to gain a refresher on earth systems science and learn more about climate modeling!,This is a general worry but getting back into the flow of school and meeting deadlines.,Applying environmental science to management,How can we best help you succeed?,water
Climate change effects and potential solutions,Intense readings,Answering other people's questions about the science behind global warming,How proactive are you at reducing your carbon footprint and what could you d better?,Synergistic
"I am most interested in learning more about the Carbon Cycle, which I've learned about in the past but not in much detail.","This is my first exposure to remote learning, so I'm worried how effective the course will be without the in-person element.","I would like to walk away from this course with a better understanding of the different earth system processes and how they can be applied practically to solving environmental issues, particularly addressing conservation issues.","""Do you believe the US general public's view on climate change is generally correct or incorrect?""",Home
Earth processes of the oceans. I want to have a better understanding of the general ocean dynamics and its influence on weather and climate.,"The breadth of topic. Previous earth processes classes that I have taken have covered such broad topics, that I felt like I came away with a very surface level understanding of all of them.",predicting outcomes of climate change and how certain earth processes will be affected by coming changes.,Have you taken an earth processes class before? Yes! And I loved it. I'm excited to learn more.,Life!
"Ocean Circulation, Water-Food-Energy Linkages,","I've been out of school for a good amount of time, and my undergraduate studies did not cover much Earth System Science, so I'm worried about difficulty understanding certain topics of the course material.",Becoming more knowledgable and confident in my Earth System Science understanding.,,Life
Hydrology,Climate modeling,Understanding atmospheric and oceanic circulation,,
better understanding of chem/bio elements that influence environmental processes,trying to recall chemistry (it's been over 10 years since I've taken a chemistry class),A deeper understanding of environmental models,,connected
interplay between global-level natural systems,---,"familiarity with various climate and hydrology models, and their applications",How familiar do you believe you are in regard to the scope and purpose of this course?,round
Climate Models and how to utilize them,The virtual learning format.,Understanding the properties and details of the carbon cycle,How do people prefer to learn new materials? In groups vs alone? Reading or watching videos? Visual learning?,Irreplaceable
How oceans and river's and changing due to climate change,Learning the principals of environmental physics. Also having discussions over zoom.,Having larger discussions about envirnmental topics,Favorite place to hike in California.,Wild
flow of mass and heat in the ocean and how this affects the global climate :),physics!! :/,understanding environmental physics,ask if we have any questions about the syllabus,sacred
Oceanic carbon cycling,General workload worries.,I would like to have a better understanding of methods human beings can employ to mitigate climate change.,WHAT is your favorite colour?,Interconnected
"Everything! I have wanted to learn about systems science for some time, and it is a newer subject for me, so I'm looking forward to all of it.",how much chemistry I will need to know and use.,"communicating the basics of this subject to others, in particular those who want to understand more about climate change or are even skeptics of the causes of climate change.",,Magnificent
water management,dynamics and motion,chemical principles,,wet
Obtaining a review of climate information that reflects my Climate Academic Certification.,Nothing.,Make sure that I got a solid foundation down on what causes climate change.,N/A,Unique
I would be interested to see how local weather will change with Earth's climate.,I am worried about being able to handle the physics.,I would like to have a better understanding of environmental physics.,Do you have any background in physics?,Complex
