"With respect to ESM 203, you are most interested in learning about:","With respect to ESM 203, you are most worried about:","At the end of this class, one thing you would like to be better at than you are now is:","What is a question that we should ask you, but we haven't?","In one word, describe the Earth. "
"I am most excited about the topic of Carbon Cycle and Human Energy Use, as I am interested in identifying opportunities for carbon drawdown.",I am most worried about the technical skills required to analyze climate models and environmental physics.,Extracting information from scientific data.,,Small
Current innovations of alternative energy ,My limited experience with studies in energy ,Improved grasp of models in general ,,Connected 
Energy Balance,Data Modeling,"Speak more eloquently about how earth systems interact with, affect and rely on each other + how climate change is impacting these relationships.",If our backgrounds are science based or not. (Mine is not!),Endangered
Pollution prevention ,Pollution and contamination of ecosystems ,Understanding government policies and regulations,What are your career goals? What do you wish to accomplish?,Fragile 
"understanding the flows of energy and mass through environmental systems well enough to model their future trajectories. And learning about watersheds in the west, hopefully","My lack of experience in physics, and rusty math skills",being able to explain the processes underlying global environmental trends,"When you ansered the previous questions, what was included in your definition of the ""environment"" they referred to?",home
"greater in depth understanding of earth system science, hoping to focus on hydrologic issues in weeks 6 & 7, as the instructors are focused in this area as well.","Returning to a traditional classroom, although I am more excited than worried.","Understanding water balance dynamics, being able to communicate and utilize systems science to explain climate issues to others.","What areas do I want to focus on in Earth Systems Science? (and is there an opportunity to focus on those areas in the course, or will this course be more of an overview of each aspect)?",intricate
human effects on the carbon cycle + climate trends,getting back into the nitty gritty of physics,"understanding concepts of the intersection of atmospheric, ocean, climate processes in enough detail to cogently explain to others",Who do you think the majority of responsibility falls on to take steps to improve our country's current environmental issues?,invigorating
"I am most interested in learning about the technical system management techniques we can use to mitigate global climate change especially within the field of agriculture and its relation to air, water, and ecological pollution. ",I am most worried about applying what I learn on a global scale and the impact one person can have towards mitigating climate change and uprooting traditional systems that have long been in place and are governed by largely corrupt organizations who value economic growth over environmental preservation.,"Understanding the technical systems and measurement tools we can use to monitor, diagnose, and address climate change values and metrics.",How do I think ESM 203 will help me with my future career goals?,Reciprocal
The flow of heat in the ocean and how it connects to climate,Environmental Physics ,Reading & understanding models ,None that I can think of! ,Deteriorating 
"How atmosphere and ocean work together to create weather patterns, and the carbon cycle",Having some concepts go over my head because I didn't study any science in undergrad…but mostly I am just very excited to learn the material!,Understanding how climate works in general so that I can understand the perturbations we're seeing caused by increased greenhouse gases…being able to explain scientifically why certain physical changes are happening from climate change to lay people,knowing people's pronouns is helpful…mine are he/him :),Blue
Planetary and Surface Energy Balance,Interpreting climate models,interpreting climate models,,Spheroid
"Climate Dynamics, Climate Models, and Climate Change",The math/physics involved,,A question to gauge awareness surrounding social/racial inequity regarding environmental degradation/pollution. ,Balanced 
Atmospheric and Oceanic Circulation and the connection between these processses and human activities,Keeping on top of the schedule,Analyzing environmental problems quantitatively,To what extent federal politics (versus state) affects progress on climate change mitigation overall in the country.,water
Just an even deeper dive into the science of climate change. Learning about the complex environmental relationships is fascinating. ,hard math,"Understanding the consequences of climate change on marine ecosystems. Coming from the midwest, I don't know a lot about oceans.",My preferred nickname! I go by Maggie,blue
climate change,not learning much,using systems thinking to solve problems and finding bottlenecks in systems,background education/experience,blue
The carbon cycle and how humans continuously disrupt it,Not understanding the articles I read on topics we're learning for the week,Understanding system feedbacks in various cycles and being able to comprehend articles written on the matter.,What is your level of knowledge when it comes to Earth Systems Science as a whole?,Panicked
Ocean circulation systems,Atmospheric circulation + environmental physics,I would like to become more proficient and clear in articulating these processes/systems ,,Life
energy transport and global warming,modeling,"creating, utilizing, and interpreting models",Would you say that your confidence in the US government's ability to deliver on promises of reducing greenhouse gas emissions is generally optimistic or pessimistic? ,alive
climate change,"This will be my first experience studying Earth system science, so I am worried about my unfamiliarity with the material.",to have a better understanding of climate change,What is your educational/professional background?,home
Everything,Test Anxiety,Test Taking,,Round
