,0
0,pillEnthrallinghomeBiodiverseblueUniqueLivingHomeLifeCoolOriginEquilibrium
1,the
2,homeintricateinvigoratingReciprocalDeteriorating
3,DoomedSingularMagicalDynamicBigBeautifulbeautifulplanetspecialVibrantLife
4,Everythingred
5,BlueSpheroidBalanced
6,supports
7,SmallConnected
8,the
9,waterbluebluePanickedLifealivehomeRoundinterconnectedIncredibleBeautiful
10,RoundawesomePressuredMotherVastUniqueInterconnectedimbalancedHomeresilient
11,that
12,EndangeredFragile
13,HeavenlyInterconnectedHomeMotherIrreplaceable
14,Earth.
15,beautiful
16,planet
17,Abundantlife-givingResilientDiverse
18,of
19,organisms
20,on
21,BeautifulThe-bossDynamicDiverseEarthylifeLivelyrare
22,all
23,life
24,MotherEarth
25,is
26,for
