,0
0,I
1,birthdays
2,I
3,and
4,live
5,looking
6,tried
7,few
8,rock
9,time
10,for
11,and
12,math
13,have
14,doing
15,large
16,more.
17,New
18,in
19,portuguese
20,wooden
21,dance
22,past
23,community
24,of
25,new
26,up
27,Fish
28,looking
29,To
30,and
31,camping
32,"markets,"
33,job
34,got
35,podcast.
36,year!
37,decided
38,of
39,to
40,started
41,to
42,an
43,my
44,The
45,"festivals,"
46,forward
47,forward
48,mountain
49,guitar
50,normal
51,and
52,attend.I
53,enter
54,forward
55,more.
56,made
57,am
58,writing
59,and
60,too
61,to
62,my
63,with
64,hiking!
65,havent
66,concertsI
67,concert/music
68,a
69,lot
70,the
71,theater
72,flea
73,entertainment
74,many
75,attend
76,"Costco,"
77,making
78,and
79,to
80,back
81,getting
82,reading;
83,forward
84,on
85,to
86,forward
87,have
88,big
89,stand
90,am
91,a
92,I'm
93,movies.
94,to
95,so
96,and
97,for
98,being
99,for
100,(although
101,the
102,"hobbies,"
103,world
104,to
105,projects
106,looking
107,of
108,That
109,(I
110,as
111,"Additionally,"
112,"hiking,"
113,I’m
114,am
115,I'm
116,hobby
117,year
118,"parties.Baking,"
119,excited
120,For
121,most
122,sweaty
123,organic
124,volunteering
125,and
126,short
127,nice.
128,nursery
129,years
130,to
131,with
132,management
133,"year,"
134,to
135,up
136,re-connect
137,spent
138,the
139,growth.
140,in
141,embroidery
142,
143,cooking;
144,everyone
145,Started
146,bit
147,a
148,I
149,"said,"
150,bunch
151,year
152,house
153,hobby!
154,Rehabilitation
155,the
156,Worked
157,lived
158,And
159,two
160,a
161,again.
162,NPS.
163,to
164,and
165,music
166,very
167,Haruki
168,relating
169,lots
170,into
171,a
172,so
173,applying
174,has
175,my
176,mountain
177,friends
178,weaving
179,public
180,this
181,such
182,remote
183,home
184,sewing
185,as
186,beer/wine
187,concerts
188,Point
189,"deli,"
190,lot
191,I
192,at
193,"games,"
194,performing
195,I
196,salmon
197,their
198,how
199,be
200,into
201,I
202,a
203,with
204,etc.
205,school!
206,"painting,"
207,and
208,like
209,up
210,still.I
211,wood
212,my
213,looking
214,to
215,volunteered
216,on
217,sewing.
218,forward
219,of
220,live
221,Live
222,concert!
223,was
224,for
225,Theme
226,looking
227,and
228,concerts
229,politics/economics/history.
230,most
231,attending
232,San
233,as
234,excited
235,was
236,1
237,Gawande.
238,"parks,"
239,project
240,I
241,some
242,the
243,past
244,dance
245,a
246,for
247,sports.
248,with
249,in
250,my
251,still
252,"for!Surfing,"
253,at
254,cycling.
255,of
256,public
257,"concerts!!!Surfing,"
258,up
259,looking
260,started
261,time.
262,in
263,program
264,concerts!
265,doing
266,yoga/Pilates
267,got
268,to
269,farmers
270,again.
271,made
272,many
273,worked
274,lot
275,enjoyed
276,a
277,when
278,consultant
279,published
280,I'm
281,was
282,also
283,for
284,emotional/personal
285,got
286,and
287,a
288,live
289,spending
290,Reyes
291,my
292,and
293,again!I
294,hobby.
295,excited
296,a
297,I
298,comedy.
299,Outdoor
300,backpacking!
301,of
302,outfits
303,forward
304,to
305,art
306,learn
307,the
308,dancing.
309,sports
310,it's
311,in
312,on
313,the
314,dance
315,really
316,home
317,am
318,since
319,to
320,concerts
321,as
322,went
323,I've
324,live
325,environmental
326,cooking
327,gardening
328,"guitar,"
329,and
330,a
331,also
332,homemade
333,"skiing,"
334,currently
335,cultural
336,am
337,dabbling
338,again
339,I
340,I'm
341,books
342,pandemic.Live
343,Delivered
344,instructor
345,Still
346,concerts
347,music.
348,completed
349,it
350,skate
351,Recently
352,spent
353,partner
354,got
355,is
356,harmonica
357,lot
358,I
359,for
360,and
361,I
362,learned
363,cleanups
364,into
365,about
366,ones
367,of
368,concerts
369,of
370,past
371,worked
372,mediums
373,I
374,and
375,did
376,helping
377,books
378,past
379,graduating
380,safe!
381,for
382,being
383,concerts!I
384,of
385,excited
386,quarantine!
387,Christmas
388,-
389,adventures.
390,"pets,"
391,Hobbies
392,large
393,"theater,"
394,new
395,$4k
396,guitar
397,"still,"
398,"Hiking,"
399,with
400,volunteered
401,to
402,year.
403,increase
404,before.
405,past
406,undergrad
407,to
408,pandemic.
409,spent
410,I
411,alongside
412,to
413,the
414,banks.
415,caring
416,helping
417,going
418,independent
419,to
420,year
421,"Botanizing,"
422,at
423,of
424,have
425,ready
426,and
427,and
428,was
429,"sham,"
430,camping
431,finally
432,lot
433,did
434,year
435,two
436,and
437,picked
438,soon
439,married.
440,excited
441,most
442,into
443,gave
444,the
445,estate
446,that
447,(binging)
448,I
449,"festivals,"
450,Phoebe
451,and
452,food
453,a
454,and
455,"wise,"
456,of
457,to
458,I
459,missed
460,I
461,up
462,I
463,books.
464,"classes.Baking,"
465,year
466,on
467,a
468,piece
469,running.
470,recreation
471,to
472,I
473,to
474,for
475,large
476,and
477,looking
478,to
479,large
480,attending
481,a
482,miss
483,Spanish;
484,couple
485,work
486,sales
487,excited
488,spent
489,going
490,prevent
491,musical
492,a
493,hit
494,to
495,made
496,concerts!
497,also
498,able
499,skiing.
500,a
501,pandemic.
502,F1
503,and
504,ton
505,workshopsThis
506,knitting.
507,as
508,concert.I
509,and
510,excited
511,movie
512,over
513,enjoying
514,music.This
515,also
516,looking
517,excited
518,it!Started
519,gotten
