Why did you decide to come to Bren? What are you most looking forward to about earning a degree at the Bren school?,What have you been up to during quarantine? Any new hobbies? What content are you consuming?,What's a place in nature from your childhood that is important to you?
Learning about the management side of environmental issues. I'm looking forward to getting a better understanding in management of environmental issues and skills to be able to know how to fix these issues,lots of hiking and baking. Watching Great British Baking show and getting inspiration from them!,Yosemite National Park - did a couple camping trips with my family there and also went on a high school trip that made me want to pursue environmental science in college
The interdisciplinary nature of the program as it relates to pressing environmental issues and how it is a solutions based approach,"Finishing yoga teacher training, learning how to cook, collaging",Savannah inter coastal waterway
The hands on approach to learning (the GP),Learning how to screen print,Up north (Michigan) where my family would go every year
I'm at Bren to create a community of environmental professionals; I'm stoked to work with like-minded folks of different backgrounds!,I was still working in the field as a biological tech at NPS; my climbing shifted completely outdoors though! Content-wise I've been on a nonfiction book kick working through things my friends have given me.,The Sierra Nevada
I wanted to lean into the sciences and technical skills associated. I’m looking forward to doing that and building connections along the way. And also getting a job after.,"Catching squirrels (for work) my life hasn’t changed much, I guess I’m not that social!",The Yuba River
feeling called to preserve God's creation - looking for the tools to best equip me to enter the job market,"I worked the entire time, learned to bake new things + my houseplants are looking better than ever",mount rainier national park
Came for many reasons! Most excited about applying what I learn through the communications focus in my career,"Learned tapestry weaving, I’ve been cooking much more, planted a garden at my moms and built a chicken coop, playing a lot of video games (red dead 2, Diablo), finished reading the fantasy novels, The Stormlight Archive Series, as well as a few Naomi Klein books and others.",Flathead Lake in Montana
"I chose to come to Bren to launch a career in finding solutions for tough environmental problems, specifically in relation to water quality and management. I am excited about all of the courses I will take, support I will receive from faculty and staff, and the connections I will make during my time at Bren.","I have been working at a remote field station in the Alaskan Arctic since covid started. Outside of work, I have been spending my time exploring the Brooks Range. Not much inside time for me this summer.","The stream behind my parent's cabin in Truckee, CA."
Bren represents a total shift in my career path. I look forward to learning from passionate people who are all working toward the same goal.,"Working remotely. Watching shows, playing games, hanging with my dog.","The beaches of Nantucket Island, MA"
I liked the Bren School's interdisciplinary approach to environmental solutions. I am looking forward to building off previous concepts from my undergraduate environmental studies courses and exploring complexities that affect the decision-making process.,"My parents and I bought a cornhole set and a ping-pong table, which we would play after dinner. Last June, I took an upper-level statistics course and used Minitab's software that the course provided to conduct a series of statistical tests (including paired t-tests, pooled t-tests, and ANOVA tests).

I finished a biography about Jack Lord (who portrayed Steve McGarrett in the original Hawaii Five-O series and the first actor to play Felix Leiter in the James Bond film series) and read some books about Project Mercury, Project Gemini, and Project Apollo. In terms of television, I watched a British comedy series called Gavin & Stacey, a British panel show called Would I Lie to You, the most recent season of Survivor (Winners at War), and a few serials of Classic Doctor Who.",Saint Edwards State Park in Washington State - my parents and I used to walk on the trails there. My parents remember that I liked walking along the trails and that I would examine how trees or plants changed since we were last there.
Gain technical skills,"Yoga, baking bread, watching The Great and Dave on hulu",Alamitos Bay
To become a leader pushing towards a more sustainable future. I am looking forward to the lasting connections I will make here and pushing myself to be a better student/person.,starting to learn bass guitar and I have been learning Italian all summer (progress is slow),Eastern Sierra! Been going to the Mammoth area every Summer since I was a kid
I want exposure to various career paths in the field outside of research,Knitting! Baking! Trying to limit exposure to news to a small portion of the day.,Lake Tahoe
"I came here for the interdisciplinary design! I'm super excited to learn more about policy/management and other topics that I haven't focused on in the past. Also, as I'm a competitive person, being challenged by everyone in my cohort and learning from them through osmosis","More running,","Towsley Canyon, but moreso my couch being inspired by places I saw on Animal Planet/Nat geo"
,,
To prepare myself for a more successful and impactful career in the environmental field while joining a community of like-minded and passionate individuals.,"I have picked up mountain biking pretty heavily and have also taught myself how to touch type. I have mostly been reading The Economist, GreenBiz, Ecowatch, and National Geographic.",Central Park
"The interdisciplinary nature of the work at Bren, the networking and career development opportunities.","Lots of hiking, dog walking, reading, baking. I read a variety of equity/racial justice, crime fiction, and historical fiction, watched political dramas and documentaries on Netflix (started and finished The West Wing for the first time!), and learned how to make my dad's famous chocolate cake.",The Stockholm archipelago in Sweden
"Bren was the best option for me because of the extensive career support, the eco-e focus and the interdisciplinary structure. I am looking forward to advancing my career and being in a learning setting again.","I have been cooking, walking and protesting a lot. I took up a new at home yoga-Pilates workout. I have been watching Real Housewives BH, Killer Mike's new show, Dave, old concerts on youtube and reading The Ghost Map.",Lake Michigan! Grew up going to the beach everyday.
I decided to come to Bren so that I could learn how to make a difference. I'm looking forward to getting hands on experience and learning how to effectively communicate scientific findings and research to people of all backgrounds.,Giving my dog an excessive amount of attention and having movie and game nights with my roommates,"Avalon, New Jersey (the beach/bay)"
"I came to Bren because I wanted to study both environmental science and how it can be applied to problem-solving in the real world, and also because of the career team. I am most looking forward to the network of people I will have after graduating from Bren.","I spent quarantine mostly working from home, and I developed some new video production skills during that time! I've also been rewatching Parks and Rec before they take it off of Netflix.",My grandparents' house in El Salvador is a huge farm surrounded by a lot of plants native to the area. I always liked spending time outside rather than in the actual house.
"To work towards environmental solutions, instead of just identifying problems. I want to learn more about oceanic processes, marine ecology and the interconnection between humans and the marine environment.","I have returned to surfing, joined the sourdough movement, and read memoirs of people I admire. I've tried to strike the balance between staying informed on current events and not becoming overwhelmed with the current political/societal turmoil.","Eastern Sierras. While I love the ocean, I grew up backpacking in the Sierras with my family."
"I decided to come to Bren specifically because of the program's interdisciplinary and comprehensive curriculum, its focus on career development, and the community. I'm most looking forward to learning, growing, and collaborating with everyone at Bren.","I've been working from home up until a week ago when I had my last day at my job. A few new hobbies I've picked up during the quarantine are baking bread (like many others) and crocheting. Content-wise, I watch youtube (baking/cooking recipes), (doom)scroll twitter for news and resources, and use the Libby app to rent library books.","There's a local park about a 5 minute walk from my childhood home that my parents would take me. I remember playing AYSO soccer on the fields, running around the rusty play structure, and spending time sitting under the canopy of trees. Every time I visited, I would always end up with a cold."
The ability to work alongside my peers in an interdisciplinary setting. I'm looking forward to the group projects.,"A lot of reading, spending time on the beach, trying new recipes, and staying up to date with the current state of the union.",The ocean. The Channel Islands. Reef ecosystems.
"I have a pretty good idea of the topic area that I'd like to focus my career on, but don't know the specific issue within it yet. I hope that Bren will help me narrow this interest through coursework, seminars and projects. I also hope that Bren will provide a broad understanding of many environmental topics in case that I decide to pivot after Bren.","Some pie making, running, biking, reading and binging political news (re: the country being a dumpster fire)",Malibu
"It offered a multidisciplinary advanced degree in environmental studies– with emphasis on application and action– supported by a motivated and experienced career development team. I look forward to exposure to new ideas, people, and job opportunities.","Climbing, reading, walking, running, prepping, working, waiting. No new hobbies. Little to no content (beyond a few books and regular podcasts)... intentionally.",Oh gosh. ...Everywhere. The present and former fields and marsh areas of Goleta.
I am excited to be around other students who are passionate about working towards realistic solutions to work towards a more sustainable society. I chose Bren specifically due to the interdisciplinary nature of the program and ability to take different classes outside of my focus.,I have gotten more into cycling! I am excited to explore all the trails here in Santa Barbara. I am an avid NY times crossword and news reader.,The Beach. I grew up about 15 minutes from the Sonoma Coast
"I had always wanted to go to Bren because I had been working in the field with species on a research level, but I had always wanted to learn more about population and ecosystem conservation from a higher management point of view. I am also interested in ocean and river ecosystems and had not had the chance to be exposed to that yet in my undergrad career. I also liked how Bren is interdisciplinary and requires students to take core classes that encompass many sides of environmental management, I think having that broader background is what makes good environmentalists. I am most looking forward to getting to work with such a diverse group of people who have varying backgrounds and interests, and see how those interests all contribute to working on environmental problems together in unique ways.","I was doing a lot of backpacking and swimming around Colorado. I also took up rollerblading, skateboarding, and trail running (turns out I am bad at all 3).","The North Fork of the South Platte River in Conifer, Colorado."
"the capstone project is an awesome opportunity to get some real-world experience prior to graduating. Also, Bren focuses on both teaching you the academics AND setting you up for your future career which is pretty unique.",Lots of new books and podcasts. Also tons of cooking and trying new recipes,South Lake Tahoe and the Tahoe National Forest
I came to Bren to further my understanding of environmental issues and to develop the skills necessary to pursue a career in creating effective public policy to combat climate change. I am most looking forward to the amount of learning that goes along with earning a degree at the Bren school.,"I was working remotely, which was complex as an environmental educator. I also did some backpacking, a lot of running, some surfing, protesting, baking, reading, and watched what I think of as a little too much tv. Most of my reading was fiction, although I've tried to stay up to date on COVID-19 and the fight for racial equality. And the shows I've watched are primarily comedies.",The Santa Cruz mountains. Specifically the redwood groves.
"The interdisciplinary and rigourous coursework, and solutions focus. I am looking forward to being able to work to help the planet and it's creatures.","Quarantine hobbies: Sprouting, reading, baking, cooking! Some content: Giri/Haji - Love on the Spectrum - Okja - Chef's Table",Bass Lake & the Sierra Mountains
Bren is an amazing program that teaches lots of technical skills - I'm looking forward to implementing those skills into social science research and policy-making.,"Working, reorganizing the house, etc. Lots of netflix honestly",Mojave Desert
To get a more applicable technical degree. Looking forward to learning how to use GIS.,A lot of alcoholism and depression to be honest.,"It's not a single place that's of value to me, it is the idea of it that is of value to me."
I decided to come to Bren because of all the programs I looked at it sounded like it would prepare me for my future career the best. I am looking forward to the career opportunities it provides me.,"I had a stem cell transplant in my back. No new hobbies, but I am attempting to train a new puppy. I watch an unhealthy amount of food network.",I grew up on a land and water reserve. I have a future responsibility to make sure it is taken care of.
"Being a more well-rounded and educated environmental problem solver. I have the passion and some experience but my solutions are likely impractical because I don't have a deeper understanding of what influences our environment. I am most looking forward to learning from others with personal and professional experience stewarding the environment. I believe my perspective is too limited, I am eager and excited to expand it.","So much and so little it seems. I have been cooking more as most people have. I've also been playing music, sewing a new apron from some old curtains, painting, going for walks, and kickin it with my cat Milykah. As for content, I mostly listen to audiobooks and the news (PBS, NPR, AP, Fox, and Politico).",cold springs trail :-) it used to be less popular and you could swim in the creek when we had enough rain
To further my education! I'm looking forward to meeting other environmentally passionate individuals and how to help solve big environmental problems.,"Worked for Dept. of Fish & Wildlife as a Scientific Aid, finally cleaned my room, and binge-watched Supernatural!",THE OCEAN! My parents took me to the beach often and snorkeling in the Caribbean. Swimming in the ocean has always been a place of happiness and peace for me.
I am looking forward to being qualified for jobs that I am more interested in,A new hobby that I have picked up a little is knitting. I have also started surfing more.,Coastal Redwoods in Northern California and Yosemite NP
"Career services team, ability to take classes in multiple specializations.","My new hobby is outdoor climbing and I am currently consuming ""We're Here.""",BWCA in Minnesota
,,Sierras
Bren had a very interdisciplinary approach to ESM,tons of true crime,the beach. the tropics
I decided to come to Bren because I wanted to dedicate my life to protecting the environment. I am looking forward to beginning my career and using it to positively impact the lives of others.,"Spending time with my loved ones, traveling a little bit. I taught myself how to juggle and started painting again. Social media feeds mostly, but I tend to lean more towards funny videos and memes than news.","My aunt's vacation home in Colombia. I grew up going there on the weekends to swim, hike/bike around."
"The interdisiplinary nature of the program. I like that my peers all come from different environmental science backgrounds, it makes for a better group/team.","Lots more news content. Picked up playing the ukulele. Baking, lots of baking!",The Uinta mountains in eastern Utah. I like to think the flora and fauna have been untouched but we know that's not true.
