,0
0,rain
1,was
2,in
3,green
4,Lake
5,in
6,geo
7,15
8,Bolsa
9,less
10,the
11,Eastern
12,Miles
13,the
14,I
15,4
16,my
17,area.
18,I
19,in
20,have
21,flora
22,CA)
23,it
24,Mammoth
25,my
26,to
27,that's
28,always
29,childhood
30,north
31,on
32,Sierra
33,the
34,I
35,grew
36,Sierra!
37,marsh
38,mountains
39,former
40,sure
41,a
42,I
43,stream
44,and
45,Big
46,"Sendai,"
47,many
48,to
49,near
50,home
51,"boat,"
52,a
53,up.
54,school
55,you
56,Summer
57,&
58,responsibility
59,Towsley
60,The
61,took
62,rainier
63,in
64,or
65,along
66,the
67,Big
68,called
69,had
70,outside
71,being
72,always
73,Sierras
74,and
75,I
76,northern
77,gosh.
78,parent's
79,native
80,was
81,a
82,Sweden
83,middle
84,or
85,national
86,water
87,me
88,family
89,to
90,creek
91,the
92,where
93,Lake
94,by
95,in
96,small
97,Edwards
98,really
99,I
100,coastal
101,Lake
102,subdivision.
103,-
104,visit
105,"Beach,"
106,Long
107,me
108,in
109,having
110,idea
111,/
112,comes
113,minute
114,a
115,my
116,that
117,it
118,Utah.
119,catch
120,"it,"
121,springs
122,Sabino
123,a
124,the
125,the
126,Mesa
127,the
128,we
129,happy
130,importance
131,the
132,Lake
133,beach
134,Goleta.
135,than
136,what
137,breathe
138,Jersey
139,My
140,learning
141,beach
142,cabin
143,Colombia.
144,knew
145,we
146,CT
147,the
148,child.
149,Coast
150,cold
151,Madera
152,snorkeling
153,National
154,that
155,city
156,State
157,a
158,saw
159,the
160,often
161,the
162,how
163,under
164,want
165,back
166,and
167,true.
168,no
169,there.
170,I
171,The
172,to
173,NP
174,a
175,The
176,every
177,Santa
178,is
179,The
180,the
181,every
182,it
183,"Desert,"
184,The
185,that
186,Planet/Nat
187,Sonoran
188,fresh
189,"Northampton,"
190,I
191,Channel
192,the
193,"Truckee,"
194,on
195,trees.
196,used
197,I
198,beaches
199,AYSO
200,I
201,any
202,radiant.
203,with
204,in
205,The
206,Reef
207,there
208,BWCA
209,the
210,sunlight
211,that
212,inter
213,walking
214,get
215,and
216,air.
217,Malibu
218,"Canyon,"
219,or
220,The
221,had
222,of
223,mount
224,time
225,go
226,to
227,camping
228,the
229,place
230,the
231,been
232,parents
233,every
234,to
235,The
236,Park
237,"city,"
238,Yuba
239,Park
240,go
241,beach
242,area
243,season!
244,Bass
245,me.
246,that
247,a
248,Lakes
249,Montana
250,Forest
251,air.
252,I
253,kid.
254,natural
255,the
256,know
257,home
258,the
259,eastern
260,forest
261,inspired
262,love
263,spent
264,makes
265,waterway
266,in
267,house
268,from
269,before
270,the
271,from
272,"ocean,"
273,when
274,is
275,remember
276,walk
277,I
278,the
279,of
280,River
281,Flathead
282,in
283,and
284,Island
