,0
0,of
1,Practical
2,environment.
3,of
4,conservation
5,in
6,"professions,"
7,during
8,collaborating
9,scientific
10,are
11,skills
12,be
13,and
14,and
15,skills
16,issues
17,of
18,learning
19,so
20,scientific
21,individuals
22,and
23,to
24,and
25,to
26,corporate
27,Knowing
28,impressive
29,will
30,and
31,I
32,opportunities
33,to
34,a
35,what
36,forward
37,also
38,economic
39,more
40,ill-prepared
41,could
42,planet's
43,my
44,the
45,from
46,of
47,marine
48,love
49,most
50,from
51,learn
52,impact
53,to
54,skills
55,into
56,"research,"
57,in
58,felt
59,undergraduate
60,expand
61,expertise
62,giving
63,speed
64,further
65,my
66,far
67,interests
68,the
69,in
70,knowledge
71,material
72,come
73,to
74,because
75,environmental
76,to
77,working
78,career
79,friendly
80,Bren
81,I
82,haven’t
83,project.
84,for
85,I
86,management
87,to
88,wanted
89,real
90,the
91,issues
92,the
93,"classes,"
94,so
95,tools
96,"little,"
97,significant
98,analytical
99,tools
100,want
101,Coast
102,change
103,a
104,and
105,knowledge
106,environmental
107,Bren
108,me
109,like-minded
110,environmental
111,to
112,a
113,forward
114,on
115,themI
116,dive
117,Barbara.
118,I
119,building
120,phenomenal.
121,to
122,a
123,with
124,my
125,past
126,adaptation.
127,decided
128,and
129,I
130,forward
131,to
132,my
133,I
134,Bren.
135,the
136,in
137,my
138,a
139,my
140,big
141,exploring
142,about
143,wildlife
144,environmental
145,more
146,PNW
147,"years,"
148,and
149,more
150,the
151,about.
152,for
153,my
154,come
155,problems.
156,knowledge
157,I'm
158,working
159,most
160,decided
161,with
162,spend
163,necessary
164,of
165,interests.
166,business
167,"2020,"
168,a
169,career
170,my
171,better
172,type
173,solve
174,been
175,have
176,faculty
177,as
178,change.
179,achieve
180,looking
181,my
182,Bren
183,forward
184,that
185,skill
186,solutions
187,and
188,to
189,pivot
190,to
191,being
192,the
193,and
194,interdisciplinary
195,I
196,protect
197,because
198,how
199,a
200,in
201,down
202,such
203,I
204,having
205,backgroundsInterdisciplinary
206,wanted
207,school
208,gain
209,most
210,a
211,to
212,future.I
213,or
214,get
215,Conservation
216,and
217,necessary
218,a
219,the
220,several
221,can
222,about
223,went
224,in
225,the
226,from
227,Bren
228,I
229,a
230,realize
231,to
232,looking
233,am
234,past
235,to
236,consulting
237,learn
238,I
239,knowledge
240,be
241,solutions.Community
242,inequality.
243,came
244,part
245,look
246,tools
247,to
248,narrow
249,I
250,in
251,to
252,with
253,unless
254,the
255,about
256,forward
257,"justice,"
258,"restoration/ecology,"
259,and
260,but
261,into
262,the
263,climate
264,a
265,"cohort,"
266,ability
267,in
268,allow
269,wanted
270,career
271,them.Lately
272,start
273,invaluable
274,how
275,natural
276,people
277,western
278,to
279,ladder
280,the
281,the
282,are
283,public
284,want
285,tired
286,help
287,to
288,environment
289,interested
290,most
291,create
292,and
293,problem.
294,communicate
295,sharing
296,to
297,decided
298,exciting
299,in
300,these
301,understanding
302,to
303,and
304,looking
305,really
306,because
307,in
308,forward
309,to
310,and
311,to
312,to
313,and
314,on
315,yet
316,to
317,experience
318,my
319,looking
320,engineering
321,years
322,faculty
323,and
324,of
325,for
326,decided
327,that
328,to
329,ideas
330,do
331,to
332,and
333,dream
334,felt
335,it
336,it
337,looking
338,fit
339,"Networking,"
340,somewhere
341,the
342,life
343,am
344,from
345,community
346,in
347,a
348,I
349,about
350,I
351,manner
352,programs
353,and
354,focus
355,am
356,I
357,folks
358,the
359,exploring
360,in
361,of
362,excited
363,was
364,real-world
365,most
366,within
367,sustainability.
368,go
369,of
370,of
371,skills
372,at
373,of
374,my
375,Behavior
376,management
377,to
378,work
379,"policy,"
380,most
381,issues
382,to
383,loved
384,cohort
385,I
386,career
387,making
388,most
389,changes
390,view
391,fulfilling
392,necessary
393,delve
394,necessary
395,challenge
396,meeting
397,to
398,professional
399,getting
400,knowledge
401,towards
402,i
403,citizen-based
404,different
405,need
406,total
407,real-world
408,and
409,sun.
410,science
411,whole
412,environmental
413,realized
414,and
415,excited
416,to
417,was
418,to
419,I
420,to
421,to
422,I
423,excited
424,program
425,more
426,the
427,am
428,to
429,make
430,wanted
431,I
432,I
433,am
434,the
435,would
436,conservation
437,but
438,like
439,restructure
440,the
441,have
442,Bren
443,wanted
444,like
445,and
446,career
447,that
448,to
449,topics
450,many
451,meaningfully
452,help.
453,am
454,forward
455,the
456,I
457,and
458,related
459,realize
460,"field,"
461,confirmed
462,applying
463,acquire
464,degradation.
465,years
466,forward
467,solutions
468,people
469,environmental
470,help
471,"within,"
472,career
473,because
474,difference
475,pivot
476,associated
477,that
478,career
479,an
480,looking
481,continued
482,more
483,a
484,excited
485,an
486,from
487,career.
488,wouldn't
489,about
490,and
491,to
492,friendships
493,worked
494,of
495,program.
496,fit
497,develop
498,program
499,gain
500,the
501,all
502,taught
503,here
504,entering
505,forward
506,to
507,to
508,and
509,pursue
510,my
511,the
512,I
513,have
514,I
515,how
516,actions.To
517,with
518,fight
519,"experience,"
520,politics
521,the
522,solving.
523,of
524,a
525,our
526,further
527,set
528,world
529,because
530,"environment,"
531,here.
532,and
533,help
534,current
535,to
536,and
