,0
0,Spending
1,and
2,journeys
3,and
4,all
5,with
6,terms
7,my
8,Parks
9,had
10,and
11,Table
12,"BH,"
13,to
14,statistical
15,time
16,also
17,racial
18,serials
19,into
20,100%
21,NOT
22,&
23,reading
24,longboarding
25,crime
26,"movies,"
27,games
28,outdoor
29,Solo
30,at
31,I
32,taking
33,new
34,trails
35,the
36,Sweating!
37,for
38,squirrels
39,kickin
40,to
41,"running,"
42,read
43,as
44,I
45,with
46,I
47,playing
48,how
49,and
50,been
51,videogames
52,the
53,"remotely,"
54,have
55,beach
56,and
57,to
58,myself
59,news
60,political
61,my
62,the
63,out
64,print
65,more
66,COVID-19
67,at
68,currently!).
69,a
70,bird-watcher
71,I've
72,to
73,and
74,a
75,screen
76,games
77,and
78,listen
79,my
80,sail
81,overwhelmed
82,since
83,be
84,and
85,Working
86,to
87,figured
88,"hiking,"
89,content.
90,taught
91,much
92,and
93,Harari
94,past
95,Arctic
96,"marketing,"
97,"AP,"
98,I've
99,explore
100,a
101,hobby
102,some
103,Project
104,"making,"
105,lots
106,current
107,too
108,my
109,are
110,and
111,old
112,I
113,and
114,"cooking,"
115,time
116,youtube
117,equity/racial
118,flew
119,and
120,bread
121,watching
122,Doctor
123,"fiction,"
124,people
125,my
126,a
127,to
128,my
129,and
130,taken
131,I
132,and
133,doing
134,puppy.
135,a
136,we
137,taught
138,that
139,hobbies
140,feeds
141,exists
142,scientific
143,Wildlife
144,car
145,gotten
146,the
147,cooking
148,first
149,I've
150,some
151,them!
152,"prepping,"
153,of
154,also
155,regular
156,of
157,am
158,app
159,quarter
160,-
161,Killer
162,been
163,curries.
164,lots
165,Watching
166,my
167,bananagrams
168,My
169,did
170,content
171,for
172,night
173,Animal
174,hospital!
175,from
176,been
177,ton
178,how
179,to
180,via
181,though!
182,station
183,as
184,James
185,chicken
186,I
187,shifted
188,news
189,but
190,learn!
191,(for
192,the
193,a
194,with
195,to
196,Lots
197,my
198,and
199,I'm
200,home
201,fantasy
202,change
203,class
204,(not
205,me
206,the
207,I've
208,knowledge
209,of
210,"rollerblading,"
211,and
212,on
213,little
214,sharing
215,stem
216,validity
217,graphic
218,summer.
219,news
220,union.
221,baking
222,get
223,online
224,the
225,climbing
226,of
227,once
228,Learning
229,Jack
230,Rec
231,me
232,few
233,intentionally.
234,first
235,I
236,figuring
237,Lots
238,Highway
239,I've
240,beach.
241,backpacking
242,started
243,at
244,of
245,I
246,protesting
247,kefir
248,and
249,my
250,political
251,think
252,summer
253,Geographic.
254,National
255,refinishing
256,limit
257,"resources,"
258,finished
259,my
260,water
261,try
262,my
263,closer
264,Watching
265,my
266,rollerskate!
267,and
268,of
269,also
270,-
271,"Cooking,"
272,it
273,"coop,"
274,looking
275,Brooks
276,consuming
277,where
278,tons
279,I
280,keep
281,time
282,I
283,"tests).

I"
284,up
285,Lots
286,hard
287,new
288,I
289,on
290,been
291,mostly
292,back.
293,&
294,outside:
295,are
296,it
297,handlebars
298,"time,"
299,doing
300,last
301,the
302,news
303,about
304,been
305,little
306,Stormlight
307,a
308,roommates
309,teach
310,form
311,examples.
312,I
313,skills
314,making
315,activity
316,a
317,for
318,"yoga,"
319,yoga.
320,"quarantine,"
321,"running,"
322,never
323,quite
324,a
325,martial
326,I've
327,equality.
328,working
329,media
330,awful
331,I
332,"(bread,"
333,hulu
334,a
335,parents
336,"GreenBiz,"
337,biography
338,was
339,spent
340,would
341,from
342,some
343,are
344,new
345,felt
346,upper-level
347,accomplished.
348,the
349,been
350,"t-tests,"
351,working
352,and
353,excited
354,(who
355,took
356,similar
357,more-
358,a
359,and
360,has
361,on
362,myself
363,few
364,with
365,so
366,everything);
367,baking
368,and
369,Lie
370,learning
371,ukulele.
372,Lessons
373,Minds
374,pie
375,also
376,Shaw
377,on
378,and
379,books.
380,more
381,it's
382,mountain
383,"Content-wise,"
384,even
385,reading
386,inside
387,"content,"
388,and
389,and
390,between
391,called
392,"times,"
393,dinner.
394,out
395,that
396,moms
397,I'm
398,talking
399,at
400,causing
401,I
402,of
403,a
404,biker).
405,a
406,a
407,the
408,and
409,in
410,of
411,juggle
412,my
413,up
414,"reading,"
415,been
416,I
417,of
418,oil
419,hiking
420,the
421,"Here."""
422,"reading,"
423,about
424,"meditating,"
425,Netflix
426,life
427,More
428,Good
429,strike
430,For
431,phone
432,an
433,cancer
434,a
435,lot
436,card
437,Taking
438,I
439,as
440,an
441,before
442,a
443,started
444,and
445,"time!),"
446,of
447,(progress
448,of
449,few
450,a
451,bird-watching—I
452,been
453,"phones,"
454,Hawaii
455,I
456,Were
457,more.
458,"running,"
459,SB.
460,the
461,"movement,"
462,it
463,movie
464,to
465,"reading,"
466,in
467,surfing
468,and
469,(beyond
470,owning
471,San
472,think
473,been
474,job.
475,"sourdough,"
476,podcasts)...
477,dumpster
478,bass
479,for
480,painting
481,Things
482,taking
483,"golfing,"
484,up
485,Trying
486,but
487,as
488,for
489,while
490,consensus.
491,current
492,a
493,Masterclasses
494,Building
495,Anthropogenic
496,over
497,towards
498,content
499,few
500,a
501,too
502,more
503,I
504,of
505,new
506,have
507,brewing
508,arts
509,was
510,new
511,to
512,picked
513,outside
514,and
515,most
516,time
517,the
518,I
