slug,set,kind,external_i,name,display_na,sqmi,type,name_1,tempmean,tempmedian,tempstdev,ndvimean,ndvimedian,ndvistdev
acton,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),acton,Acton,Acton L.A. County Neighborhood (V5),39.33910895,unincorporated-area,,43.49304976,43.62850952,2.494304468,0.120838344,0.118158191,0.028375154
adams-normandie,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),adams-normandie,Adams-Normandie,Adams-Normandie L.A. County Neighborhood (V5),0.805350188,segment-of-a-city,,38.68936041,38.87968063,0.688030477,0.090941382,0.089848951,0.038410345
agoura-hills,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),agoura-hills,Agoura Hills,Agoura Hills L.A. County Neighborhood (V5),8.146760298,standalone-city,,37.69252399,37.60651016,1.984164041,0.160054009,0.14836283,0.061792802
agua-dulce,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),agua-dulce,Agua Dulce,Agua Dulce L.A. County Neighborhood (V5),31.46263195,unincorporated-area,,42.9334024,43.07024002,3.083019458,0.122387999,0.123562828,0.031598981
alhambra,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),alhambra,Alhambra,Alhambra L.A. County Neighborhood (V5),7.623814306,standalone-city,,38.28326819,38.5043602,1.532698509,0.11824801,0.110932603,0.072718601
alondra-park,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),alondra-park,Alondra Park,Alondra Park L.A. County Neighborhood (V5),1.139894231,unincorporated-area,,34.58163229,35.2436142,2.196699365,0.167415488,0.129420429,0.113048421
altadena,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),altadena,Altadena,Altadena L.A. County Neighborhood (V5),8.710337672,unincorporated-area,,34.56599383,34.62901306,2.252671583,0.19068314,0.186563313,0.058795541
angeles-crest,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),angeles-crest,Angeles Crest,Angeles Crest L.A. County Neighborhood (V5),430.4774911,unincorporated-area,,32.53321859,32.29291534,4.329983073,0.218677142,0.212698415,0.064692211
arcadia,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),arcadia,Arcadia,Arcadia L.A. County Neighborhood (V5),11.15079692,standalone-city,,36.37598409,36.41200256,2.072723958,0.166348798,0.167178914,0.082474078
arleta,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),arleta,Arleta,Arleta L.A. County Neighborhood (V5),3.096179176,segment-of-a-city,,39.88711044,39.92961121,1.060707718,0.115876228,0.114980027,0.042726436
arlington-heights,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),arlington-heights,Arlington Heights,Arlington Heights L.A. County Neighborhood (V5),1.031415235,segment-of-a-city,,38.52022528,38.72413635,0.979401991,0.090757673,0.085739873,0.046756031
artesia,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),artesia,Artesia,Artesia L.A. County Neighborhood (V5),1.632204177,standalone-city,,37.0773123,37.21890259,0.862711829,0.113241491,0.104819685,0.06792109
athens,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),athens,Athens,Athens L.A. County Neighborhood (V5),1.332753323,unincorporated-area,,37.41076392,38.25426483,2.173106297,0.140143759,0.109806225,0.103659361
atwater-village,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),atwater-village,Atwater Village,Atwater Village L.A. County Neighborhood (V5),1.776893945,segment-of-a-city,,37.09529111,37.44299316,1.870624803,0.114677762,0.115041599,0.065808437
avalon,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),avalon,Avalon,Avalon L.A. County Neighborhood (V5),2.744696706,standalone-city,,,,,,,
avocado-heights,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),avocado-heights,Avocado Heights,Avocado Heights L.A. County Neighborhood (V5),2.948458927,unincorporated-area,,37.52297169,37.7912941,1.812298836,0.133170743,0.128999278,0.071161837
azusa,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),azusa,Azusa,Azusa L.A. County Neighborhood (V5),9.871435589,standalone-city,,37.33307943,38.00154877,2.877246239,0.121893753,0.118472591,0.071996011
baldwin-hillscrenshaw,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),baldwin-hillscrenshaw,Baldwin Hills/Crenshaw,Baldwin Hills/Crenshaw L.A. County Neighborhood (V5),2.883704673,segment-of-a-city,,36.22272087,36.33820343,1.650667779,0.130185069,0.127847835,0.065563369
baldwin-park,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),baldwin-park,Baldwin Park,Baldwin Park L.A. County Neighborhood (V5),6.778016136,standalone-city,,39.08417501,39.13072205,1.090320402,0.108778471,0.105167829,0.060159843
bel-air,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),bel-air,Bel-Air,Bel-Air L.A. County Neighborhood (V5),6.373321431,segment-of-a-city,,32.00239188,31.75720787,2.050419733,0.208181206,0.198773444,0.07905291
bellflower,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),bellflower,Bellflower,Bellflower L.A. County Neighborhood (V5),6.195311624,standalone-city,,37.34320832,37.50540924,0.922682584,0.113033426,0.110916726,0.05979093
bell-gardens,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),bell-gardens,Bell Gardens,Bell Gardens L.A. County Neighborhood (V5),2.48028549,standalone-city,,38.23840666,38.4274559,1.264067863,0.109464131,0.10113503,0.067526531
bell,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),bell,Bell,Bell L.A. County Neighborhood (V5),2.554028842,standalone-city,,38.7736744,38.78381729,1.377904844,0.084097316,0.078737617,0.048316005
beverly-crest,L.A. County Neighborhoods (V5),L.A. County Neighborhood (V5),beverly-crest,Beverly Crest,Beverly Crest L.A. County Neighborhood (V5),8.236092999,segment-of-a-city,,31.88901315,31.88207436,1.727284423,0.199172516,0.19462584,0.068526092
