name,diversity_index
Mid-Wilshire,0.755
Alondra Park,0.748
West Carson,0.748
Gardena,0.748
Downtown,0.743
Carson,0.741
Palms,0.739
Signal Hill,0.737
Long Beach,0.723
Playa Vista,0.722
Larchmont,0.708
Pasadena,0.706
Artesia,0.706
Altadena,0.702
Ramona,0.702
Rancho Dominguez,0.701
Bellflower,0.694
East Pasadena,0.692
Eagle Rock,0.69
Duarte,0.687
Diamond Bar,0.687
East San Gabriel,0.683
West Covina,0.682
Culver City,0.681
North El Monte,0.678
Winnetka,0.678
Hawthorne,0.676
Silver Lake,0.676
University Park,0.676
Harbor City,0.674
Hacienda Heights,0.674
Palmdale,0.67
Del Rey,0.666
Temple City,0.665
Northridge,0.661
Windsor Square,0.661
Westchester,0.66
Sawtelle,0.659
Charter Oak,0.659
Mayflower Village,0.658
Del Aire,0.657
Reseda,0.656
Castaic,0.654
Covina,0.653
South Pasadena,0.651
Lawndale,0.651
Monrovia,0.65
Lakewood,0.649
Harbor Gateway,0.648
Atwater Village,0.645
Desert View Highlands,0.645
Hollywood,0.644
La Mirada,0.644
Lake Los Angeles,0.639
Lancaster,0.638
San Gabriel,0.637
Mid-City,0.637
Lake View Terrace,0.636
Glendale,0.635
Mar Vista,0.634
Lake Balboa,0.632
Canoga Park,0.632
Rowland Heights,0.632
Valley Glen,0.632
Alhambra,0.631
San Pedro,0.63
Torrance,0.628
Lomita,0.626
Arcadia,0.62
Granada Hills,0.62
Sun Village,0.619
Mission Hills,0.615
Carthay,0.615
Walnut,0.612
Los Feliz,0.61
North Hills,0.604
Val Verde,0.602
Koreatown,0.602
Unincorporated Santa Susana Mountains,0.602
San Pasqual,0.601
Arlington Heights,0.6
Cerritos,0.599
Rancho Park,0.598
Littlerock,0.592
Veterans Administration,0.592
South San Gabriel,0.59
Rosemead,0.589
North Whittier,0.588
North Hollywood,0.586
San Marino,0.584
Elysian Park,0.582
Burbank,0.581
West San Dimas,0.581
East Hollywood,0.578
Jefferson Park,0.577
Downey,0.577
Vincent,0.574
Van Nuys,0.571
Inglewood,0.571
San Dimas,0.565
Mount Washington,0.565
Shadow Hills,0.562
East La Mirada,0.561
Tujunga,0.557
Norwalk,0.554
Elysian Valley,0.552
Porter Ranch,0.551
Whittier,0.548
Northeast Antelope Valley,0.548
Hasley Canyon,0.547
Athens,0.547
Industry,0.546
Claremont,0.545
Adams-Normandie,0.545
Avalon,0.543
