name,pct_latino
East Los Angeles,0.97
Maywood,0.96
Walnut Park,0.95
Huntington Park,0.95
Boyle Heights,0.94
Cudahy,0.94
Bell Gardens,0.94
Commerce,0.93
Vernon,0.93
South Gate,0.92
Bell,0.91
San Fernando,0.90
Lennox,0.89
Irwindale,0.88
Pico Rivera,0.88
Historic South-Central,0.87
Wilmington,0.87
South El Monte,0.86
Florence-Firestone,0.86
Pacoima,0.86
Pico-Union,0.85
Central-Alameda,0.85
South San Jose Hills,0.83
La Puente,0.83
Cypress Park,0.82
Lynwood,0.82
West Whittier-Los Nietos,0.82
El Sereno,0.81
West Puente Valley,0.81
Baldwin Park,0.79
Avocado Heights,0.79
South Park,0.79
Montebello,0.75
Hawaiian Gardens,0.74
Westlake,0.73
East Compton,0.73
Paramount,0.73
El Monte,0.73
Highland Park,0.72
Arleta,0.72
Santa Fe Springs,0.72
Lincoln Heights,0.71
Panorama City,0.70
Sylmar,0.70
Florence,0.70
Valinda,0.70
South Whittier,0.70
Sun Valley,0.69
Harvard Heights,0.66
Glassell Park,0.66
Montecito Heights,0.66
Citrus,0.65
Azusa,0.65
Pomona,0.64
Echo Park,0.64
Norwalk,0.63
Industry,0.62
Adams-Normandie,0.62
Watts,0.62
Mount Washington,0.61
Elysian Valley,0.61
Vermont-Slauson,0.61
Van Nuys,0.61
East Hollywood,0.60
Vincent,0.60
Broadway-Manchester,0.59
Downey,0.58
North Hollywood,0.58
North Whittier,0.57
Compton,0.57
Arlington Heights,0.57
North Hills,0.57
Vermont Square,0.57
West Adams,0.56
Exposition Park,0.56
Whittier,0.56
Vermont Knolls,0.55
Green Meadows,0.54
Mission Hills,0.54
Koreatown,0.54
Harbor Gateway,0.53
Lake View Terrace,0.53
Willowbrook,0.53
Lawndale,0.52
Vermont Vista,0.52
Atwater Village,0.51
Canoga Park,0.51
Val Verde,0.50
Mayflower Village,0.48
South San Gabriel,0.48
Harvard Park,0.48
Harbor City,0.48
University Park,0.48
Elysian Park,0.48
Del Aire,0.46
Inglewood,0.46
Avalon,0.46
West Covina,0.46
Mid-City,0.45
Valley Glen,0.45
Jefferson Park,0.45
Del Rey,0.44
Hawthorne,0.44
Reseda,0.44
Duarte,0.43
Bellflower,0.43
Hollywood,0.42
Silver Lake,0.42
Rosemead,0.41
San Pedro,0.41
Winnetka,0.41
Eagle Rock,0.40
Athens,0.40
Covina,0.40
Westmont,0.39
Sun Village,0.39
Artesia,0.38
Hacienda Heights,0.38
East La Mirada,0.38
Palmdale,0.38
Larchmont,0.37
Chesterfield Square,0.37
Downtown,0.37
Charter Oak,0.36
West Compton,0.36
East Pasadena,0.36
Unincorporated Catalina Island,0.36
Long Beach,0.36
Alhambra,0.36
Lake Los Angeles,0.36
Monrovia,0.35
Carson,0.35
Alondra Park,0.35
Playa Vista,0.35
Littlerock,0.35
Lake Balboa,0.34
La Mirada,0.34
Pasadena,0.33
Castaic,0.32
Gardena,0.32
North El Monte,0.31
San Gabriel,0.30
West Carson,0.30
Mar Vista,0.29
Signal Hill,0.29
Monterey Park,0.29
Shadow Hills,0.29
Desert View Highlands,0.28
Rowland Heights,0.27
Hyde Park,0.27
Hasley Canyon,0.27
East San Gabriel,0.27
Lopez/Kagel Canyons,0.27
Ramona,0.26
Tujunga,0.26
Lomita,0.26
Northridge,0.26
Burbank,0.25
Northeast Antelope Valley,0.25
Lancaster,0.24
Culver City,0.24
Chinatown,0.24
San Dimas,0.24
Palms,0.23
La Verne,0.23
Lakewood,0.23
Sawtelle,0.23
Glendora,0.22
Venice,0.22
Sunland,0.22
Santa Clarita,0.21
Granada Hills,0.21
Altadena,0.20
Temple City,0.20
Ridge Route,0.20
West San Dimas,0.20
Mid-Wilshire,0.20
Glendale,0.20
Manchester Square,0.19
Walnut,0.19
Valley Village,0.19
Los Feliz,0.19
Diamond Bar,0.19
San Pasqual,0.18
Baldwin Hills/Crenshaw,0.17
Unincorporated Santa Susana Mountains,0.17
Westchester,0.17
Castaic Canyons,0.17
Southeast Antelope Valley,0.16
Rancho Park,0.16
Elizabeth Lake,0.16
Rancho Dominguez,0.16
South Pasadena,0.16
Lake Hughes,0.16
Carthay,0.16
Claremont,0.16
Quartz Hill,0.15
Tarzana,0.15
Tujunga Canyons,0.15
Windsor Square,0.15
Northwest Antelope Valley,0.14
Toluca Lake,0.14
Santa Monica,0.14
Chatsworth,0.14
Redondo Beach,0.13
Torrance,0.13
Stevenson Ranch,0.13
