Rank,name,med_inc,,,
1,Bel-Air,207938.00,,,
2,Hidden Hills,203199.00,,,
3,Rolling Hills,184777.00,,,
4,Beverly Crest,169282.00,,,
5,Pacific Palisades,168008.00,,,
6,Palos Verdes Estates,167344.00,,,
7,San Marino,158855.00,,,
8,La Cañada Flintridge,148996.00,,,
9,Rolling Hills Estates,145628.00,,,
10,Malibu,138215.00,,,
11,La Habra Heights,137034.00,,,
12,Manhattan Beach,136481.00,,,
13,Unincorporated Santa Monica Mountains,132997.00,,,
14,Rancho Palos Verdes,128321.00,,,
15,Westlake Village,126550.00,,,
16,Calabasas,126178.00,,,
17,West San Dimas,125984.00,,,
18,Bradbury,123773.00,,,
19,Stevenson Ranch,122833.00,,,
20,Porter Ranch,121428.00,,,
21,Topanga,120319.00,,,
22,Ladera Heights,117925.00,,,
23,Agoura Hills,117608.00,,,
24,Leona Valley,117526.00,,,
25,Brentwood,112927.00,,,
26,Cheviot Hills,111813.00,,,
27,Hermosa Beach,109509.00,,,
28,Castaic,108693.00,,,
29,Hollywood Hills West,108199.00,,,
30,Walnut,106893.00,,,
31,Hasley Canyon,106489.00,,,
32,Agua Dulce,106078.00,,,
33,Beverlywood,105253.00,,,
34,Northwest Palmdale,103013.00,,,
35,West Hills,103008.00,,,
36,Cerritos,98212.00,,,
37,Beverly Hills,96312.00,,,
38,Century City,95135.00,,,
39,North Whittier,93841.00,,,
40,Unincorporated Santa Susana Mountains,93825.00,,,
41,Castaic Canyons,93248.00,,,
42,San Pasqual,92917.00,,,
43,Ridge Route,92822.00,,,
44,Marina del Rey,92763.00,,,
45,Diamond Bar,92414.00,,,
46,Redondo Beach,92263.00,,,
47,Playa del Rey,91339.00,,,
48,Woodland Hills,89946.00,,,
49,Claremont,89804.00,,,
50,Santa Clarita,88987.00,,,
51,Sierra Madre,88008.00,,,
52,West Los Angeles,86403.00,,,
53,Ramona,86325.00,,,
54,Tujunga Canyons,85625.00,,,
55,Hancock Park,85277.00,,,
56,San Dimas,84953.00,,,
57,Chatsworth,84456.00,,,
58,Acton,83983.00,,,
59,El Segundo,83925.00,,,
60,Granada Hills,83911.00,,,
61,La Mirada,83514.00,,,
62,La Verne,83352.00,,,
63,Shadow Hills,82796.00,,,
64,La Crescenta-Montrose,82693.00,,,
65,Altadena,82676.00,,,
66,Glendora,81336.00,,,
67,Vernon,81279.00,,,
68,View Park-Windsor Hills,81214.00,,,
69,Desert View Highlands,80867.00,,,
70,Hacienda Heights,80762.00,,,
71,Lakewood,78764.00,,,
72,Green Valley,78712.00,,,
73,Encino,78529.00,,,
74,Quartz Hill,77498.00,,,
75,Westchester,77473.00,,,
76,Torrance,76866.00,,,
77,South Pasadena,76229.00,,,
78,Elizabeth Lake,75951.00,,,
79,Arcadia,75808.00,,,
80,Mission Hills,75675.00,,,
81,Studio City,75657.00,,,
82,Lake Hughes,74918.00,,,
83,East Pasadena,73690.00,,,
84,Tarzana,73195.00,,,
85,Toluca Lake,73111.00,,,
86,Angeles Crest,72841.00,,,
