name,pct_single_parent
Veterans Administration,0.63
Watts,0.39
Westmont,0.36
Vermont Knolls,0.34
Baldwin Hills/Crenshaw,0.32
Chesterfield Square,0.30
Hyde Park,0.29
Vermont Vista,0.28
Florence,0.28
Broadway-Manchester,0.28
South Park,0.28
Leimert Park,0.28
Green Meadows,0.28
Exposition Park,0.27
Hawthorne,0.27
Vermont Square,0.27
Jefferson Park,0.27
Inglewood,0.27
Central-Alameda,0.26
Manchester Square,0.26
Signal Hill,0.25
Historic South-Central,0.25
Willowbrook,0.25
Vermont-Slauson,0.25
Westlake,0.25
Athens,0.25
Adams-Normandie,0.24
Harvard Park,0.24
Cudahy,0.24
Arlington Heights,0.24
Mid-City,0.23
Pico-Union,0.23
Harvard Heights,0.23
Florence-Firestone,0.23
Compton,0.22
Lennox,0.22
Paramount,0.22
Long Beach,0.22
Bell Gardens,0.22
Gramercy Park,0.22
West Adams,0.22
Lancaster,0.22
Van Nuys,0.21
Highland Park,0.21
West Compton,0.21
Boyle Heights,0.21
Lawndale,0.21
Echo Park,0.21
Bellflower,0.20
University Park,0.20
Panorama City,0.20
East Hollywood,0.20
East Compton,0.20
Hawaiian Gardens,0.20
Avalon,0.20
Koreatown,0.20
Bell,0.20
North Hollywood,0.20
Huntington Park,0.20
Lincoln Heights,0.20
Alondra Park,0.20
Lynwood,0.19
Harbor Gateway,0.19
Wilmington,0.19
Palmdale,0.19
Maywood,0.19
Harbor City,0.19
East Los Angeles,0.19
Elysian Park,0.18
Azusa,0.18
Covina,0.18
Canoga Park,0.18
Lomita,0.18
North Hills,0.18
Vincent,0.18
El Monte,0.18
Pacoima,0.18
Hollywood,0.18
Pomona,0.18
Commerce,0.18
Monrovia,0.18
El Sereno,0.18
San Pedro,0.18
Montebello,0.17
Lake Los Angeles,0.17
Charter Oak,0.17
Glassell Park,0.17
Cypress Park,0.17
South Gate,0.17
South El Monte,0.17
Gardena,0.16
Valley Village,0.16
South San Gabriel,0.16
Valley Glen,0.16
Downey,0.16
Baldwin Park,0.16
Mid-Wilshire,0.16
Silver Lake,0.16
San Fernando,0.15
Palms,0.15
Whittier,0.15
Citrus,0.15
Sylmar,0.15
La Puente,0.15
Del Aire,0.15
Unincorporated Catalina Island,0.15
Mount Washington,0.15
Westchester,0.15
South Whittier,0.15
Reseda,0.15
Irwindale,0.15
Elysian Valley,0.14
Montecito Heights,0.14
Sun Valley,0.14
Larchmont,0.14
Atwater Village,0.14
Venice,0.14
Tujunga,0.14
Lake Balboa,0.14
Carthay,0.14
Walnut Park,0.14
Downtown,0.14
Quartz Hill,0.13
Pasadena,0.13
Culver City,0.13
Del Rey,0.13
Sherman Oaks,0.13
Duarte,0.13
Burbank,0.13
Pico Rivera,0.13
Sun Village,0.13
El Segundo,0.13
South Pasadena,0.13
Eagle Rock,0.13
Santa Monica,0.13
Norwalk,0.13
