name,pct_white
Malibu,0.89
Hidden Hills,0.89
Pacific Palisades,0.89
Topanga,0.88
Beverly Crest,0.88
Westlake Village,0.86
Manhattan Beach,0.86
Hollywood Hills West,0.85
Hermosa Beach,0.85
Fairfax,0.85
Brentwood,0.84
Agua Dulce,0.84
Calabasas,0.83
Bel-Air,0.83
Agoura Hills,0.83
Unincorporated Santa Monica Mountains,0.83
Century City,0.83
Beverly Grove,0.82
Beverly Hills,0.82
Acton,0.82
West Hollywood,0.81
Encino,0.8
Beverlywood,0.8
Leona Valley,0.8
Sierra Madre,0.8
Cheviot Hills,0.79
Woodland Hills,0.78
Marina del Rey,0.78
Studio City,0.78
Northwest Antelope Valley,0.78
El Segundo,0.78
Tujunga Canyons,0.77
West Los Angeles,0.77
Lake Hughes,0.76
Elizabeth Lake,0.76
Rolling Hills,0.76
Southeast Antelope Valley,0.76
Palos Verdes Estates,0.76
Green Valley,0.75
Northwest Palmdale,0.75
Hollywood Hills,0.74
Sherman Oaks,0.74
Quartz Hill,0.74
Pico-Robertson,0.74
Castaic Canyons,0.74
Playa del Rey,0.73
Angeles Crest,0.72
Toluca Lake,0.72
Santa Monica,0.71
West Hills,0.71
La Cañada Flintridge,0.71
Tarzana,0.71
Hancock Park,0.71
Redondo Beach,0.7
Ridge Route,0.7
Rolling Hills Estates,0.7
Santa Clarita,0.69
Glendora,0.67
Valley Village,0.67
Bradbury,0.66
La Crescenta-Montrose,0.66
Chatsworth,0.66
Stevenson Ranch,0.65
Sunland,0.65
Claremont,0.64
Venice,0.64
La Verne,0.64
La Habra Heights,0.64
Westwood,0.63
Rancho Palos Verdes,0.63
Northeast Antelope Valley,0.62
Lopez/Kagel Canyons,0.62
Unincorporated Catalina Island,0.61
Hasley Canyon,0.61
Porter Ranch,0.61
San Dimas,0.61
Tujunga,0.61
West San Dimas,0.6
Shadow Hills,0.59
Burbank,0.59
Rancho Park,0.58
Carthay,0.58
San Pasqual,0.58
Unincorporated Santa Susana Mountains,0.58
Los Feliz,0.58
Granada Hills,0.56
East La Mirada,0.54
Glendale,0.54
Lomita,0.54
Littlerock,0.53
Lancaster,0.53
Westchester,0.52
Lakewood,0.52
Torrance,0.52
Mar Vista,0.51
Desert View Highlands,0.51
South Pasadena,0.5
Sawtelle,0.5
Avalon,0.5
Northridge,0.5
Lake Balboa,0.49
Culver City,0.48
Lake Los Angeles,0.47
Castaic,0.47
La Mirada,0.47
Sun Village,0.47
Monrovia,0.46
Veterans Administration,0.46
San Pedro,0.44
Charter Oak,0.44
San Marino,0.44
Rancho Dominguez,0.43
Covina,0.42
Hollywood,0.41
Palmdale,0.41
Arcadia,0.4
North El Monte,0.4
Altadena,0.4
Valley Glen,0.4
Pasadena,0.39
Palms,0.38
Val Verde,0.38
Temple City,0.38
Windsor Square,0.38
Reseda,0.37
East Pasadena,0.37
Whittier,0.37
Winnetka,0.36
Signal Hill,0.36
Del Rey,0.34
Silver Lake,0.34
Mid-Wilshire,0.34
Del Aire,0.34
Long Beach,0.33
Playa Vista,0.32
Ramona,0.32
Duarte,0.32
Diamond Bar,0.31
Bellflower,0.31
Canoga Park,0.31
Mayflower Village,0.3
Eagle Rock,0.3
West Carson,0.29
Mission Hills,0.29
Downey,0.29
East San Gabriel,0.28
North Hollywood,0.27
Alondra Park,0.26
Artesia,0.26
University Park,0.26
Harbor City,0.25
Vincent,0.25
Larchmont,0.25
South Whittier,0.24
North Hills,0.24
North Whittier,0.24
Industry,0.24
Azusa,0.24
West Covina,0.23
Van Nuys,0.23
Citrus,0.23
Hacienda Heights,0.23
Lake View Terrace,0.22
Atwater Village,0.22
Lawndale,0.22
Cerritos,0.21
Mount Washington,0.21
Sylmar,0.21
Santa Fe Springs,0.19
Ladera Heights,0.19
Norwalk,0.19
Walnut,0.19
Sun Valley,0.18
East Hollywood,0.18
San Gabriel,0.17
Pomona,0.17
Downtown,0.16
Rowland Heights,0.16
West Whittier-Los Nietos,0.14
Alhambra,0.14
Glassell Park,0.14
Arleta,0.13
Echo Park,0.13
Hawthorne,0.13
Gardena,0.12
Montecito Heights,0.12
Valinda,0.12
Carson,0.12
Harbor Gateway,0.12
Panorama City,0.12
Highland Park,0.11
Avocado Heights,0.11
Montebello,0.11
Hawaiian Gardens,0.11
Elysian Valley,0.1
Mid-City,0.1
Paramount,0.09
South San Gabriel,0.08
Irwindale,0.08
Rosemead,0.08
San Fernando,0.08
West Puente Valley,0.08
Pico Rivera,0.08
Monterey Park,0.07
Koreatown,0.07
South San Jose Hills,0.07
Baldwin Park,0.07
El Monte,0.07
La Puente,0.07
Wilmington,0.06
South Gate,0.06
Bell,0.06
Adams-Normandie,0.06
South El Monte,0.05
View Park-Windsor Hills,0.05
Cypress Park,0.05
El Sereno,0.05
Arlington Heights,0.05
Bell Gardens,0.05
Pacoima,0.05
Westlake,0.05
Cudahy,0.04
Commerce,0.04
Inglewood,0.04
Lennox,0.04
Walnut Park,0.04
Harvard Heights,0.03
Baldwin Hills/Crenshaw,0.03
Elysian Park,0.03
Huntington Park,0.03
Pico-Union,0.03
Lynwood,0.03
Maywood,0.03
Jefferson Park,0.03
Lincoln Heights,0.03
Chinatown,0.03
West Adams,0.02
Exposition Park,0.02
Vernon,0.02
Hyde Park,0.02
Boyle Heights,0.02
East Los Angeles,0.02
Chesterfield Square,0.02
West Compton,0.02
Vermont Square,0.01
East Compton,0.01
Vermont-Slauson,0.01
Westmont,0.01
Leimert Park,0.01
Historic South-Central,0.01
Athens,0.01
Vermont Vista,0.01
Harvard Park,0.01
Central-Alameda,0.01
South Park,0.01
Vermont Knolls,0.01
Broadway-Manchester,0.01
Willowbrook,0.01
Gramercy Park,0.01
Compton,0.01
Florence-Firestone,0.01
Manchester Square,0.01
Green Meadows,0.01
Watts,0.01
Florence,0
